key	ru	en
play	Играть	Play
continue	Продолжить	Continue
settings	Настройки	Settings
saves	Сохранения	Saves
saving	Идёт сохранение данных	Saving data
exit	Выйти	Exit
shells	Ракушки	Shells
shards	Осколки	Shards
warmth	Теплота	Warmth
warming	Согревание	Warming
warming_desc	Растапливает лёд и сердца	Melts ice and hearts
resonance	Резонанс	Resonance
resonance_desc	Призывает дружелюбных рыбок	Summons friendly fish
metabolism	Метаболизм	Metabolism
metabolism_desc	Позволяет видеть секреты	Allows you to see secrets
dash	Дэш	Dash
dash_desc	Ускоряет и разрушает всё на своём пути	Accelerates and destroys everything in its path
graphics	Графика	Graphics
audio	Аудио	Audio
language	Язык	Language
main_sound	Общий	General
music	Музыка	Music
sfx	Эффекты	Effects
quality	Качество	Quality
fullscreen	Полный экран	Full screen
from_auto_save	С автосохранения	From autosave
load	Загрузить	Load
delete	Удалить	Delete
confirm_all	Подтвердить всё	Confirm all
Tertilus	Тертилус	Tertilus
Finix	Финикс	Finix
Octoboss	Октобосс	Octoboss
Skyper	Скайпер	Skyper
Jelica	Джелика	Jelica
Player	{playerName}	{playerName}
language_example	Русский	English
low	Низкая	Low
medium	Средная	Medium
high	Высокая	High
new_save	Новое сохранение	New save
name	Меня зовут	My name is
current_save	Сохранить текущее состояние	Save the current state
underwater_caves	Подводные пещеры	Underwater caves
great_reef	Большой Риф	Great Reef
middle_layer	Общая комунна	Common commune
surface	Поверхность	Surface
loading	Загрузка...	Loading...
thanks	Спасибо за игру!  \nМы вложили много сил в этот проект и надеемся на его дальнейшее развитие. \nБез вас не было бы ни этой игры, ни, возможно, нас самих как личностей. \nВы можете продолжить играть, так как история на этом не закончивается! \nИ конечно, не переставайте сиять!	Thank you for playing! \nWe've put a lot of effort into this project and look forward to its continued development. \nWithout you, this game, and perhaps even us as individuals, wouldn't exist. \nYou can keep playing, because the story doesn't end here! \nAnd of course, keep shining!
command	Команда \n• Валя — тимлид, техлид, геймдизайнер, сценарист, технический художник  \n• Тимур — программист \n• Ира — программист \n• Диана — 2D художник	Team \n• Valya — Team Lead, Tech Lead, Game Designer, Writer, Technical Artist \n• Timur — Programmer \n• Ira — Programmer \n• Diana — 2D Artist
quest_progress	Прогресс квеста:	Quest progress:
incorrect_layer	Квест находится на другом слое	The quest is on a different layer